,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
153,0.78,0,0.358,0,-10.988,0.0796,0.709,0.643,0.0976,0.382,82.985,115663,4Gs49fzepEtYLIlGDvHP7U,Mysteries,Guzimi,Mysteries,4Gs49fzepEtYLIlGDvHP7U
154,0.701,0,0.438,6,-7.891,0.239,0.623,0.558,0.114,0.215,83.961,114853,7cyogt98IRn5xak0wg3NDo,Squeeze,Smoke Trees,Squeeze,7cyogt98IRn5xak0wg3NDo
155,0.705,0,0.43,3,-10.316,0.0527,0.834,0.649,0.129,0.465,88.018,132084,0kftQfRPoWTK04O718qCic,Park Slope,Mindscape,Park Slope,0kftQfRPoWTK04O718qCic
156,0.748,0,0.415,7,-11.655,0.0635,0.375,0.882,0.107,0.419,160.042,147000,57gfGCAZMdVkwxcHNQrar4,Mulholland Drive,LESKY,Mulholland Drive,57gfGCAZMdVkwxcHNQrar4
157,0.495,0,0.256,3,-16.14,0.0589,0.965,0.849,0.105,0.629,79.52,116342,6UMSnFNKH8Wb3PTZV5rQIE,Distances,Lo-Fi Tigers,Distances,6UMSnFNKH8Wb3PTZV5rQIE
158,0.741,0,0.236,10,-12.214,0.0457,0.787,0.781,0.101,0.384,86.034,123461,2VEl4VVVJYdNZhH8yAp5rB,Aquarell,damaa.beats,Aquarell,2VEl4VVVJYdNZhH8yAp5rB
159,0.638,0,0.226,5,-15.548,0.0805,0.528,0.918,0.126,0.65,79.997,125250,1Q4rAo79TKUd69AzlZ37T3,Tendrils,Flitz&Suppe,Tendrils,1Q4rAo79TKUd69AzlZ37T3
160,0.669,1,0.496,2,-7.431,0.236,0.0407,0.729,0.155,0.13,89.892,133333,3XtKqHYn0bKPifnFTukNLX,"Sun Forrest, Sun",Howie Doowin,"Sun Forrest, Sun",3XtKqHYn0bKPifnFTukNLX
161,0.791,0,0.409,3,-14.884,0.0679,0.437,0.808,0.177,0.737,93.003,170323,41tPCwnxZelcIIdGbz9lRk,Daylit,Konteks,Daylit,41tPCwnxZelcIIdGbz9lRk
162,0.79,0,0.397,4,-11.42,0.334,0.185,0.915,0.105,0.386,86.9,88282,5qtNshZntEZX5szPbTcSio,Magnificent Minds,mädmäx,Magnificent Minds,5qtNshZntEZX5szPbTcSio
163,0.783,0,0.552,11,-10.896,0.0933,0.355,0.167,0.587,0.377,99.068,128485,1ImdJjR1NUSLNilGq3eTW4,Mosaik,Worldtraveller,Mosaik,1ImdJjR1NUSLNilGq3eTW4
164,0.622,0,0.312,0,-11.244,0.0312,0.751,0.317,0.16,0.477,80.02,171000,3pfmlg7TUaA2TQshjjEKlo,Something Pure,Louk,Something Pure,3pfmlg7TUaA2TQshjjEKlo
165,0.569,0,0.311,10,-9.562,0.0775,0.338,0.327,0.117,0.449,180.083,142667,170ZmbYgGk5kSb0WwFarSS,Jehzz,Midan,Jehzz,170ZmbYgGk5kSb0WwFarSS
166,0.632,0,0.498,5,-8.89,0.0506,0.617,0.946,0.149,0.161,173.983,135172,5xa1WF36hjrxH09WmkNWGo,Bye,Saiko,Bye,5xa1WF36hjrxH09WmkNWGo
167,0.655,0,0.308,7,-11.239,0.0349,0.0575,0.703,0.114,0.411,172.005,101600,3aUv5xMwV5sarC3wYxe5Mw,Golden Clouds,Leo Motta,Bossa,3aUv5xMwV5sarC3wYxe5Mw
168,0.733,0,0.3,6,-10.673,0.0703,0.372,0.71,0.0678,0.249,82.955,116386,6JqcQEsdVQ745YZ6MTunYs,Great Depth,NEKOB,Great Depth,6JqcQEsdVQ745YZ6MTunYs
169,0.879,1,0.356,6,-11.117,0.209,0.103,0.349,0.0487,0.731,92.998,102518,04emr6g1YI9iOjVvBM0qiQ,Diamond In The Back,Lamar Azul,Diamond In The Back,04emr6g1YI9iOjVvBM0qiQ
170,0.854,1,0.562,0,-6.758,0.0368,0.537,0.903,0.0708,0.947,131.969,117148,62IKEWx76EJslWVXnlMJ9b,Islands,Screwaholic,Islands,62IKEWx76EJslWVXnlMJ9b
171,0.695,1,0.324,8,-12.577,0.0396,0.703,0.905,0.394,0.312,77.979,140071,5PVJi0Z0PPqda1tneSNPnD,Arpoador,Chancla,Arpoador,5PVJi0Z0PPqda1tneSNPnD
172,0.764,1,0.246,7,-13.126,0.194,0.0901,0.923,0.105,0.492,80.046,126000,5MKqAfnnp1lKUwUK65lnf6,Nina,Grmmr.126,Nina,5MKqAfnnp1lKUwUK65lnf6
