,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
106,0.817,0,0.669,9,-7.073,0.0304,0.396,3.1e-05,0.18,0.642,109.992,314306,16ZVWog5Yrh2KmBK6W7XW9,Điều Anh Biết,Chi Dan,Điều Anh Biết,16ZVWog5Yrh2KmBK6W7XW9
107,0.745,1,0.413,7,-9.114,0.0386,0.563,0.0,0.156,0.757,95.998,206290,77aSANWC9mOU0q6SnOmJSr,Đi Để Trở Về,SOOBIN,Đi Để Trở Về,77aSANWC9mOU0q6SnOmJSr
108,0.564,1,0.393,8,-5.743,0.0286,0.901,0.0,0.192,0.127,119.93,282534,5V3Xeo0QDtGOn8FSScY8t0,,Various Artists,,5V3Xeo0QDtGOn8FSScY8t0
109,0.466,1,0.326,0,-9.825,0.0328,0.935,0.000186,0.0831,0.225,133.865,317937,3q5VjsdusPweA2vwpdvT8J,,Various Artists,,3q5VjsdusPweA2vwpdvT8J
110,0.707,1,0.723,11,-7.783,0.0344,0.662,0.536,0.18,0.481,110.941,289046,3tf2fOBZZT3qTEnGBUs6aV,,Various Artists,,3tf2fOBZZT3qTEnGBUs6aV
111,0.56,0,0.431,7,-6.575,0.0323,0.933,2.99e-06,0.124,0.173,135.843,255347,1uxmHZX06NPEgbCE36VZu7,Bay Gio Em Hieu,Bao Anh,Ballad Vol.1,1uxmHZX06NPEgbCE36VZu7
112,0.558,0,0.482,5,-6.465,0.0295,0.865,0.0,0.107,0.203,145.783,250646,2rbCnsqjPWsXZsNVFHOgfn,Anh Cu Di Di,Hari Won,Anh Cu Di Di,2rbCnsqjPWsXZsNVFHOgfn
113,0.6,0,0.793,10,-5.584,0.132,0.435,2.89e-06,0.143,0.581,167.942,222500,6sl5gY3LO0KmrmgDEUC9AA,Đi Về Đâu,Tiên Tiên,Đi Về Đâu,6sl5gY3LO0KmrmgDEUC9AA
114,0.523,1,0.85,0,-5.245,0.0305,0.0449,0.000827,0.13,0.37,91.983,260128,6efaWmqWQxnWFGcFN2BqDW,Noi Nay Co Anh,Sơn Tùng M-TP,Noi Nay Co Anh,6efaWmqWQxnWFGcFN2BqDW
115,0.72,1,0.43,4,-7.548,0.0429,0.401,1.23e-05,0.101,0.555,72.471,269167,1Ieu97rHJPnSGxrGsqzTkJ,,Various Artists,,1Ieu97rHJPnSGxrGsqzTkJ
116,0.452,1,0.329,6,-7.493,0.0286,0.896,1.16e-06,0.0885,0.182,160.096,291339,0kzbrgosMdGCNvICmN1Idj,Quay Lung Di,Bảo Thy,Quay Lung Di,0kzbrgosMdGCNvICmN1Idj
117,0.618,1,0.443,5,-7.735,0.0299,0.827,0.000102,0.108,0.391,117.975,256296,0IPOuJXcPF7cIw4bsP3pW1,Gui Anh Xa Nho,Bich Phuong,Gui Anh Xa Nho,0IPOuJXcPF7cIw4bsP3pW1
118,0.6,0,0.506,0,-7.116,0.0297,0.394,0.0,0.243,0.352,122.049,205270,0lxnIhE3jvxecnKNMQ3yDT,Sau Tất Cả,Tien Cookie,Sau Tất Cả,0lxnIhE3jvxecnKNMQ3yDT
